Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter,Fix_quality
1664833211.0740337,0,78011,936132,GPS1_Frame,42.33843,-71.0855715,17.1,328192.56844587735,4689459.317789921,19,T,5
1664833212.103088,0,78012,936144,GPS1_Frame,42.33843149999999,-71.08557583333332,17.1,328192.21554030007,4689459.49310929,19,T,4
1664833213.1051269,0,78013,936156,GPS1_Frame,42.33843583333334,-71.08557666666667,17.1,328192.1586900759,4689459.975976736,19,T,4
1664833214.1031125,0,78014,936168,GPS1_Frame,42.338436833333326,-71.08557616666667,17.2,328192.20260482945,4689460.086008825,19,T,4
1664833215.079992,0,78015,936180,GPS1_Frame,42.3384335,-71.085568,17.1,328192.8663168619,4689459.699366256,19,T,5
1664833216.0972981,0,78016,936192,GPS1_Frame,42.33843,-71.08556033333333,17.1,328193.48838380026,4689459.29522697,19,T,4
1664833217.0956917,0,78017,936204,GPS1_Frame,42.33842383333334,-71.08555216666667,17.2,328194.1443794659,4689458.593964459,19,T,5
1664833218.0929363,0,78018,936216,GPS1_Frame,42.3384175,-71.08554433333333,17.2,328194.772460516,4689457.874868466,19,T,5
1664833219.1182134,0,78019,936228,GPS1_Frame,42.33841233333332,-71.085537,17.1,328195.3625277962,4689457.28633224,19,T,5
1664833220.121182,0,78020,936240,GPS1_Frame,42.338409166666665,-71.08553066666667,17.2,328195.8756595376,4689456.921901348,19,T,5
1664833221.1055865,0,78021,936252,GPS1_Frame,42.338405333333334,-71.085523,17.2,328196.4968190822,4689456.480748218,19,T,4
1664833222.1089666,0,78022,936264,GPS1_Frame,42.33840133333333,-71.08551383333334,17.1,328197.24109860824,4689456.01805731,19,T,4
1664833223.0827825,0,78023,936276,GPS1_Frame,42.3383965,-71.085505,17.1,328197.95564787247,4689455.463504675,19,T,4
1664833224.0962977,0,78024,936288,GPS1_Frame,42.33839,-71.08549783333333,17.1,328198.5283539976,4689454.727248981,19,T,4
1664833225.0774283,0,78025,936300,GPS1_Frame,42.33838466666666,-71.08549,17.0,328199.1591592437,4689454.119195783,19,T,4
1664833226.0894976,0,78026,936312,GPS1_Frame,42.33838016666667,-71.085482,17.2,328199.80596450856,4689453.603341213,19,T,4
1664833227.0837681,0,78027,936324,GPS1_Frame,42.33837583333334,-71.08547633333333,17.1,328200.2609977684,4689453.110708209,19,T,4
1664833228.0836627,0,78028,936336,GPS1_Frame,42.3383735,-71.08547100000001,17.1,328200.6940169607,4689452.840833478,19,T,4
1664833229.0661898,0,78029,936348,GPS1_Frame,42.3383705,-71.08546583333333,17.1,328201.1114901843,4689452.497267267,19,T,4
1664833230.0750418,0,78030,936360,GPS1_Frame,42.33836816666667,-71.08546,17.1,328201.58570074005,4689452.22638236,19,T,4
1664833231.0648785,0,78031,936372,GPS1_Frame,42.33836633333333,-71.08545649999999,17.1,328201.86904697074,4689452.015733069,19,T,4
1664833232.0972898,0,78032,936384,GPS1_Frame,42.338363333333334,-71.08544916666666,17.1,328202.4650159065,4689451.667789292,19,T,4
1664833233.0793707,0,78033,936396,GPS1_Frame,42.338358500000005,-71.08544283333335,17.1,328202.9736095414,4689451.1182883205,19,T,4
1664833234.0917392,0,78034,936408,GPS1_Frame,42.33835466666666,-71.0854365,17.1,328203.48492657836,4689450.679829763,19,T,4
1664833235.0850668,0,78035,936420,GPS1_Frame,42.33835066666667,-71.0854305,17.2,328203.9683289251,4689450.223537662,19,T,4
1664833236.0676944,0,78036,936432,GPS1_Frame,42.33834749999999,-71.085425,17.2,328204.4128094489,4689449.86079112,19,T,4
1664833237.1020682,0,78037,936444,GPS1_Frame,42.33834316666666,-71.08541749999999,17.1,328205.0188780717,4689449.364454332,19,T,4
1664833238.0970757,0,78038,936456,GPS1_Frame,42.33833766666667,-71.08541166666667,17.1,328205.48446524295,4689448.741935515,19,T,4
1664833239.086991,0,78039,936468,GPS1_Frame,42.33833166666667,-71.08540416666666,17.1,328206.0859952427,4689448.060528204,19,T,4
1664833240.116606,0,78040,936480,GPS1_Frame,42.33832600000001,-71.08539683333333,17.1,328206.6747026777,4689447.4164718045,19,T,4
1664833241.093955,0,78041,936492,GPS1_Frame,42.33831966666666,-71.08539016666667,17.1,328207.2066729575,4689446.6997341355,19,T,4
1664833242.1059427,0,78042,936504,GPS1_Frame,42.338313333333325,-71.08538133333333,17.1,328207.9171390964,4689445.978619012,19,T,4
1664833243.0865035,0,78043,936516,GPS1_Frame,42.33830666666666,-71.085372,17.1,328208.6678889666,4689445.219479655,19,T,4
1664833244.0866416,0,78044,936528,GPS1_Frame,42.3383,-71.0853625,17.1,328209.4323694502,4689444.460003657,19,T,4
1664833245.100011,0,78045,936540,GPS1_Frame,42.33829333333333,-71.08535366666666,17.1,328210.1419283127,4689443.701874652,19,T,4
1664833246.073083,0,78046,936552,GPS1_Frame,42.33828616666666,-71.085344,17.1,328210.9187779737,4689442.886540915,19,T,4
1664833247.0816932,0,78047,936564,GPS1_Frame,42.338280166666664,-71.08533383333334,17.1,328211.73999621195,4689442.199746535,19,T,4
1664833248.0945778,0,78048,936576,GPS1_Frame,42.338274166666665,-71.08532416666667,17.1,328212.5200232583,4689441.513962423,19,T,4
1664833249.0809245,0,78049,936588,GPS1_Frame,42.338268,-71.08531500000001,17.1,328213.25840524375,4689440.8106815,19,T,4
1664833250.10404,0,78050,936600,GPS1_Frame,42.338262,-71.0853055,17.1,328214.02470214164,4689440.1252342835,19,T,4
1664833251.097474,0,78051,936612,GPS1_Frame,42.338256666666666,-71.085296,17.1,328214.79281460994,4689439.513815405,19,T,4
1664833252.0920775,0,78052,936624,GPS1_Frame,42.338254000000006,-71.08528683333334,17.0,328215.5407279474,4689439.199183039,19,T,4
