Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter,Fix_quality
1664832480.064263,0,77280,927360,GPS1_Frame,42.33842033333334,-71.08558316666667,15.7,328191.58098939655,4689458.267953636,19,T,4
1664832481.096212,0,77281,927372,GPS1_Frame,42.33842033333334,-71.08558316666667,15.7,328191.58098939655,4689458.267953636,19,T,4
1664832482.0839274,0,77282,927384,GPS1_Frame,42.33842033333334,-71.085583,15.7,328191.5947198173,4689458.267616873,19,T,4
1664832483.0802727,0,77283,927396,GPS1_Frame,42.33842033333334,-71.085583,15.7,328191.5947198173,4689458.267616873,19,T,4
1664832484.0896645,0,77284,927408,GPS1_Frame,42.33842033333334,-71.08558316666667,15.7,328191.58098939655,4689458.267953636,19,T,4
1664832485.0817409,0,77285,927420,GPS1_Frame,42.33842033333334,-71.08558316666667,15.7,328191.58098939655,4689458.267953636,19,T,4
1664832486.0806315,0,77286,927432,GPS1_Frame,42.33842033333334,-71.085583,15.7,328191.5947198173,4689458.267616873,19,T,4
1664832487.0977218,0,77287,927444,GPS1_Frame,42.33842033333334,-71.08558316666667,15.7,328191.58098939655,4689458.267953636,19,T,4
1664832488.0899103,0,77288,927456,GPS1_Frame,42.33842033333334,-71.08558316666667,15.7,328191.58098939655,4689458.267953636,19,T,4
1664832489.086342,0,77289,927468,GPS1_Frame,42.33842033333334,-71.08558316666667,15.7,328191.58098939655,4689458.267953636,19,T,4
1664832490.1010878,0,77290,927480,GPS1_Frame,42.33842033333334,-71.08558316666667,15.7,328191.58098939655,4689458.267953636,19,T,4
1664832491.0949922,0,77291,927492,GPS1_Frame,42.33842033333334,-71.08558316666667,15.7,328191.58098939655,4689458.267953636,19,T,4
1664832492.088585,0,77292,927504,GPS1_Frame,42.33842033333334,-71.08558316666667,15.7,328191.58098939655,4689458.267953636,19,T,4
1664832493.0861702,0,77293,927516,GPS1_Frame,42.33842033333334,-71.085583,15.7,328191.5947198173,4689458.267616873,19,T,4
1664832494.0805695,0,77294,927528,GPS1_Frame,42.33842033333334,-71.085583,15.7,328191.5947198173,4689458.267616873,19,T,4
1664832495.100533,0,77295,927540,GPS1_Frame,42.33842033333334,-71.085583,15.7,328191.5947198173,4689458.267616873,19,T,4
1664832496.0976973,0,77296,927552,GPS1_Frame,42.33842033333334,-71.085583,15.7,328191.5947198173,4689458.267616873,19,T,4
1664832497.0918841,0,77297,927564,GPS1_Frame,42.33842033333334,-71.08558316666667,15.7,328191.58098939655,4689458.267953636,19,T,4
1664832498.0884802,0,77298,927576,GPS1_Frame,42.33842033333334,-71.08558316666667,15.7,328191.58098939655,4689458.267953636,19,T,4
1664832499.0821593,0,77299,927588,GPS1_Frame,42.33842033333334,-71.085583,15.7,328191.5947198173,4689458.267616873,19,T,4
1664832500.0968306,0,77300,927600,GPS1_Frame,42.33842033333334,-71.085583,15.7,328191.5947198173,4689458.267616873,19,T,4
1664832501.0903509,0,77301,927612,GPS1_Frame,42.33842033333334,-71.085583,15.7,328191.5947198173,4689458.267616873,19,T,4
1664832502.0818472,0,77302,927624,GPS1_Frame,42.33842033333334,-71.08558316666667,15.7,328191.58098939655,4689458.267953636,19,T,4
1664832503.0915046,0,77303,927636,GPS1_Frame,42.33842033333334,-71.085583,15.7,328191.5947198173,4689458.267616873,19,T,4
1664832504.0775158,0,77304,927648,GPS1_Frame,42.33842033333334,-71.085583,15.7,328191.5947198173,4689458.267616873,19,T,4
1664832505.0915303,0,77305,927660,GPS1_Frame,42.33842033333334,-71.085583,15.7,328191.5947198173,4689458.267616873,19,T,4
1664832506.0760722,0,77306,927672,GPS1_Frame,42.33842033333334,-71.085583,15.7,328191.5947198173,4689458.267616873,19,T,4
1664832507.0827386,0,77307,927684,GPS1_Frame,42.33842033333334,-71.085583,15.7,328191.5947198173,4689458.267616873,19,T,4
1664832508.0895908,0,77308,927696,GPS1_Frame,42.33842033333334,-71.08558316666667,15.7,328191.58098939655,4689458.267953636,19,T,4
1664832509.075026,0,77309,927708,GPS1_Frame,42.33842033333334,-71.085583,15.7,328191.5947198173,4689458.267616873,19,T,4
1664832510.070437,0,77310,927720,GPS1_Frame,42.33842033333334,-71.08558316666667,15.7,328191.58098939655,4689458.267953636,19,T,4
1664832511.0653298,0,77311,927732,GPS1_Frame,42.33842033333334,-71.08558316666667,15.7,328191.58098939655,4689458.267953636,19,T,4
1664832512.0972943,0,77312,927744,GPS1_Frame,42.33842033333334,-71.08558316666667,15.7,328191.58098939655,4689458.267953636,19,T,4
1664832513.0922053,0,77313,927756,GPS1_Frame,42.33842033333334,-71.08558316666667,15.7,328191.58098939655,4689458.267953636,19,T,4
